group_id,collection_id,mms_id,originating_system_id,compoundrelationship,dc:title,dcterms:alternative,oldalttitle,dc:identifier,dcterms:identifier.dcterms:URI,dcterms:tableOfContents,dc:creator,dc:contributor,dc:subject,dcterms:subject.dcterms:LCSH,dc:description,dcterms:provenance,dcterms:bibliographicCitation,dcterms:abstract,dcterms:publisher,dc:date,dcterms:created,dcterms:issued,dcterms:dateSubmitted,dcterms:dateAccepted,dc:type,dc:format,dcterms:extent,dcterms:medium,dcterms:format.dcterms:IMT,dcterms:type.dcterms:DCMIType,dc:language,dc:relation,dcterms:isPartOf,dc:coverage,dcterms:spatial,dcterms:spatial.dcterms:Point,dcterms:temporal,dc:rights,dc:source,bib custom field,rep_label,rep_public_note,rep_access_rights,rep_usage_type,rep_library,rep_note,rep_custom field,file_name_1,file_label_1,file_name_2,file_label_2,googlesheetsource,dginfo
,,991011750288604641,991011750288604641,parent:developmental-dilemmas,Developmental Dilemas: The Role of Power and Agency,,,dg_1776978925 | http://hdl.handle.net/11084/1776978925 | alma:01GCL_INST/bibs/991011750288604641,http://hdl.handle.net/11084/1776978925,Developmental Dilemas: The Role of Power and Agency - Book (book) | Developmental Dilemas: The Role of Power and Agency - Appendicies (text),"Ferguson, William D.",,,Agent (Philosophy) -- Political aspects | Economic development -- Government policy | Power (Social sciences) -- Economic aspects,"PDF version of Developmental Dilemmas: The Role of Power and Agency (Cambridge University Press, 2026) https://www.cambridge.org/core/elements/developmental-dilemmas/2E907BFE764990C92C72129AF6B5E485. DOI: https://doi.org/10.1017/9781009469647",,,"Why do well-meaning developmental policies fail? Power intervenes. Consider the recent collapse of the peace agreement
between the Colombian government and FARC guerillas. Achieving inclusive development entails resolving collective-action problems of forging cooperation among agents with disparate interests and understandings. Resolution relies on developing functional informal and formal institutions. Powerful agents shape institutional evolution—because they can. This Element outlines a conceptual framework for policy-relevant inquiry. It addresses the concept of power—noting sources, instruments, manifestations, domains of operation, and strategic templates. After discussing leadership, following, and brokerage, it addresses institutional entrepreneurship. Institutional entrepreneurs develop narratives and actions to influence incentives and interpretations of social norms and identities: foundations of strategic interactions that shape institutional evolution. This approach facilitates inquiry into the roots and consequences of context-specific developmental dilemmas: background for developmental policy analysis. This title is also available as open access on Cambridge Core.",S.l. : CAMBRIDGE UNIV PRESS,2025,2025,,,,compound,,2 documents; 75 pages; 19 pages,,,,,ISBN : 1009469630 | ISBN : 9781009469630 | ISBN : 9781009469685 | ISBN : 1009469681 | OCLC : (OCoLC)1544848330 | OCLC : (OCoLC)on1544848330 | ISBN : 9781009469647,Cambridge elements. Elements in development economics,,,,,,,,,,,,,,,,,,,,generated_metadata_20260423_190838_20260423_194040.csv
,,991011591189604641,991011591189604641,,Spaulding H advertisement,,,991011591189604641 | grinnell:26628 | http://hdl.handle.net/11084/26628 | alma:01GCL_INST/bibs/991011591189604641,http://hdl.handle.net/11084/26628,,,,1910s | Grinnell | Business | Transportation,Transportation | Automobiles | Grinnell Historical Museum | Advertising | Spaulding Manufacturing Company,,"Grinnell Historical Museum (Grinnell, Iowa) Archives",,"Copy of an ad for the Spaulding H 5-passenger car in the January 1914 issue of 'The Automobile' magazine. At the time, this Sleeper car sold for $1875. The ad is titled /""Spaulding Radically Refines Bodies/"" and describes the changes and benefits of this newest model",Poweshiek History Preservation Project,,1914,1914,,,photograph,reformatted digital,"1 photograph, black and white, 4.5x6.5 inches",,,Still Image,English,,Poweshiek History Preservation Project | Grinnell Historical Museum | Digital Grinnell,,Grinnell (Iowa),,,"<a href=""https://rightsstatements.org/page/NoC-US/1.0/?language=en"" target=""_blank"">Public Domain in the United States</a>",,,,,,,,,,,,,,0112  https://docs.google.com/spreadsheets/d/1JzW8TGU8qJlBAlyoMyDS1mkLTGoaLrsCzVtwQo-4JlU/edit?usp=sharing,"{/""worksheet/"": /""https://docs.google.com/spreadsheets/d/1JzW8TGU8qJlBAlyoMyDS1mkLTGoaLrsCzVtwQo-4JlU#gid=866960285/"", /""directory/"": /""smb://storage/mediadb/DGingest/Migration-to-Alma/exports/phpp-ghm/"", /""object/"": {/""pid/"": /""grinnell:26628/"", /""title/"": /""Spaulding H advertisement/"", /""files/"": [/""grinnell_26628_MODS.xml/"", /""grinnell_26628_RELS-EXT.rdf/""]}}"
,,991011591313304641,991011591313304641,,Dorothy Lannom Interview,,,grinnell:23308 | http://hdl.handle.net/11084/23308 | alma:01GCL_INST/bibs/991011591313304641,http://hdl.handle.net/11084/23308,,,"Lannom, Dorothy Williams, 1912-2003 | Smith, Dolores Ann Larson, 1926-1994 | Pustz, Jennifer",Voices from the Past | Grinnell | Business | 1930s | 1940s | 1950s | 1960s,Morrison-Ricker Manufacturing Company | Glove industry | Home economists | Homemakers | Depressions | World War (1939-1945),,"Drake Community Library (Grinnell, Iowa) Archives",,"Born in Cedar Rapids on November 3, 1912, Dorothy Williams came to Grinnell in 1934 as a graduate of Coe College. She taught home economics until her marriage in 1936 to G. Sharp Lannom III. She was interested in politics, and went to the Far East with the Iowa Development Commission and Iowa Governor Harold Hughes. Three of her four sons carried on the family manufacturing business.",Poweshiek History Preservation Project,,1992,,,"March 5, 1992",sound,digitized other analog,"1 hour, 23 minutes, 2 seconds",,video/mpeg,Sound,English,Voices from the Past,"Poweshiek History Preservation Project | Drake Community Library (Grinnell, Iowa) Archives | Digital Grinnell",,Grinnell (Iowa),,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,,,,,,,,,0012  https://docs.google.com/spreadsheets/d/1JzW8TGU8qJlBAlyoMyDS1mkLTGoaLrsCzVtwQo-4JlU/edit?usp=sharing,"{/""worksheet/"": /""https://docs.google.com/spreadsheets/d/1JzW8TGU8qJlBAlyoMyDS1mkLTGoaLrsCzVtwQo-4JlU#gid=1898192483/"", /""directory/"": /""smb://storage/mediadb/DGingest/Migration-to-Alma/exports/phpp-oral-history/"", /""object/"": {/""pid/"": /""grinnell:23308/"", /""title/"": /""Dorothy Lannom Interview/"", /""files/"": [/""grinnell_23308_MODS.xml/"", /""grinnell_23308_RELS-EXT.rdf/""]}}"
,,991011582745504641,991011582745504641,,"Lucille Ley to Jimmy Ley - June 21, 1943",,,grinnell:26463 | http://hdl.handle.net/11084/26463 | alma:01GCL_INST/bibs/991011582745504641,http://hdl.handle.net/11084/26463,,"Ley, Lucille",,Homefront,,,,,Jimmy's mother writes to him about goings on at home in Lakota. She laments not hearing from Jimmy in a while but is relieved he is safe.,Grinnell College,,1943,,,"June 21, 1943",letter,digitized other analog,2 pages w/ envelope front and back,,application/pdf,Text,English,,Digital Grinnell | Grinnell College. Special Collections and Archives,,,,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,,,,,,,,,,,,,0086  https://docs.google.com/spreadsheets/d/1JzW8TGU8qJlBAlyoMyDS1mkLTGoaLrsCzVtwQo-4JlU/edit?usp=sharing,
,,991011536603404641,991011536603404641,,"Stewart Public Library, Grinnell, Iowa",,,grinnell:14492 | ms107_griciv018 | http://hdl.handle.net/11084/14492 | alma:01GCL_INST/bibs/991011536603404641,http://hdl.handle.net/11084/14492,,,,,Poweshiek County (Iowa) | Grinnell (Iowa) | Cultural facilities | Public libraries,Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format.,Purchased from Ivan Sheets,"Grinnell public service buildings, /""Focus on Grinnell architecture/"" series by Charles Manly III and Lorna Caulkins May 15, 1982.","Looking east from Broad Street.  In 1901 Joel Stewart, a farmer, banker, and state legislator, offered to build the public library on land donated by the Congregational Church Society. The cornerstone was laid on May 7, 1901. 1912 postmark. Listed on the National Register of Historic Places.  Number 926.","C.U.Williams, Photoette (Bloomington, Ill.)",1912?,1912,,,,postcard,digitized other analog,1 postcard : b&w | 9 x 14 cm.,"Real photo reprint, divided back.",image/jpeg,Still Image,English,,Ivan Sheets Collection | Grinnell College. Special Collections and Archives | Digital Grinnell,,"41.74407652720837, -92.72375327748311",,,"<a href=""https://rightsstatements.org/page/NoC-US/1.0/?language=en"" target=""_blank"">Public Domain in the United States</a>",,,,,,,,,,,,,,1212  https://docs.google.com/spreadsheets/d/1JzW8TGU8qJlBAlyoMyDS1mkLTGoaLrsCzVtwQo-4JlU/edit?usp=sharing,"{/""worksheet/"": /""https://docs.google.com/spreadsheets/d/1JzW8TGU8qJlBAlyoMyDS1mkLTGoaLrsCzVtwQo-4JlU#gid=1574077632/"", /""directory/"": /""smb://storage/mediadb/DGingest/Migration-to-Alma/exports/postcards/"", /""object/"": {/""pid/"": /""grinnell:14492/"", /""title/"": /""Stewart Public Library, Grinnell, Iowa/"", /""files/"": [/""grinnell_14492_MODS.xml/"", /""grinnell_14492_RELS-EXT.rdf/""]}}"
,,991011582738904641,991011582738904641,,"Washington High School, Cedar Rapids, Iowa",,,http://hdl.handle.net/11084/1738962048 | ms108-2_build0017 | alma:01GCL_INST/bibs/991011582738904641 | 991011582738904641,http://hdl.handle.net/11084/1738962048,,,,,Linn County (Iowa) | Cedar Rapids (Iowa) | Educational facilities | Schools | Public schools,,,,"Looking south at Washington High School completed in 1891 at a cost of $40,000; demolished in 1946. Number 26253. 1928 postmark. W.B. copyright.","W. Baylis Post Card Co. (Cedar Rapids, Iowa)",,1928,,,,postcard,digitized other analog,1 postcard : color | 9 x 14 cm.,"Color lithograph print, divided back",,,English,,Digital Grinnell | Historic Iowa Postcards | Gwendolyn Manatt Postcard Collection,,"41.98030004382338, -91.69053743863994",,,"<a href=""https://rightsstatements.org/page/NoC-US/1.0/?language=en"" target=""_blank"">Public Domain in the United States</a>",,,,,,,,,,,,,,,"{/""worksheet/"": /""https://docs.google.com/spreadsheets/d/1JzW8TGU8qJlBAlyoMyDS1mkLTGoaLrsCzVtwQo-4JlU#gid=1989083869/"", /""directory/"": /""smb://storage/mediadb/DGingest/Migration-to-Alma/exports/postcards-gwen-manatt/"", /""object/"": {/""pid/"": /""dg_1738962048/"", /""title/"": /""Washington High School, Cedar Rapids, Iowa/"", /""files/"": []}}"
